setting,setting_short,lexical_structural,brand_adversarial,turkish_linguistic,graph_infrastructure,binary_auc,binary_f1,mcc,macro_f1,weighted_f1,delta_macro_f1,inference_ms
A1: Lexical + structural only,"A1
Lexical",True,False,False,False,0.9956217523993718,0.9845353619523722,0.9008702572515686,0.8512962555105752,0.8568759338392302,0.0,0.0867389909764737
A2: Lexical + structural + adversarial/brand,"A2
Lexical + Brand",True,True,False,False,0.9959553873005113,0.985150508642652,0.9047512530087264,0.8686195756716337,0.8671569935166185,0.0173233201610585,0.0825147170137595
A3: Lexical + structural + Turkish linguistic,"A3
Lexical + Turkish",True,False,True,False,0.99672136017462,0.9868668318399864,0.9152118764498874,0.8755737392912868,0.8832629048582452,0.0242774837807115,0.0871105752526395
A4: Lexical + structural + graph-based infrastructure,"A4
Lexical + Graph",True,False,False,True,0.998290245392837,0.9920103043834342,0.9483583339467944,0.8797809385737703,0.8905038583029257,0.028484683063195,0.0858885291095545
A5: Lexical + structural + adversarial/brand + Turkish linguistic,"A5
Lexical + Brand + Turkish linguistic",True,True,True,False,0.9969251269644896,0.9870972036693078,0.9167828927560644,0.8878244423899,0.8896002023485853,0.0365281868793248,0.0903351148378151
A6: Lexical + structural + adversarial/brand + Turkish linguistic + graph,"A6
Lexical + Brand + Turkish linguistic + graph",True,True,True,True,0.9986928816819048,0.9927306594884062,0.953096145138458,0.9047263000278278,0.9118152043909163,0.0534300445172526,0.0899031137571228
"A7: Full retained feature set, artifact-controlled","A7
Full retained",True,True,True,True,0.9986926461857646,0.9927297292151844,0.9530895293874266,0.9047231863796796,0.911811182605924,0.0534269308691045,0.0903815028680417
"A8: Full retained feature set, artifact-controlled, inductive graph projection","A8
Full retained, inductive graph projection",True,True,True,True,0.9986926461857646,0.9927297292151844,0.9530895293874266,0.9047231863796796,0.911811182605924,0.0534269308691045,0.0918216598902254
